ingredients,labels
"WATER, CITRIC ACID, PROPYLENE GLYCOL, CAFFEINE, SODIUM CITRATE, SUCRALOSE AND ACESULFAME POTASSIUM (SWEETENERS), POTASSIUM CITRATE, NATURAL FLAVOR, RED 40, TAURINE, NIACINAMIDE, GINSENG EXTRACT (PANAX), GUARANA EXTRACT, POTASSIUM SORBATE (PRESERVATIVE), PYRIDOXINE HYDROCHLORIDE, VITAMIN B12.",
"CARBONATED WATER, CITRIC ACID, CALCIUM PHOSPHATE, NATURAL FLAVOR, POTASSIUM CITRATE, CALCIUM CHLORIDE, ASPARTAME, POTASSIUM BENZOATE (PRESERVATIVE), MALIC ACID, ACESULFAME POTASSIUM.",
"UNCURED DUCK BACON: DUCK PREPARED WITH: WATER, SALT, RAW SUGAR, NATURAL FLAVORINGS, LACTIC ACID STARTER CULTURE (NOT FROM MILK).",
"ORGANIC CANE SUGAR*, ORGANIC COCOA POWDER*, MILK CHOCOLATE CHIPS (SUGAR, COCOA BUTTER, CHOCOLATE LIQUOR, MILK, SOY LECITHIN [AN EMLSIFIER], PURE VANILLA), DARK CHOCOLATE CHIPS* (UNSWEETEND CHOCOLATE, ORGANIC CANE SUGAR, COCOA BUTTER, NATURAL VANILLA EXTRACT), SEA SALT.",
"ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), CANE SUGAR, PALM OIL, TOASTED COCONUT (COCONUT, SUGAR, SALT), EGGS, CRYSTALLINE FRUCTOSE, WATER, LEMON POWDER, BUTTER FLAVOR, BAKING SODA, CANE SYRUP, SALT, APPLE FIBER, CULTURED DEXTROSE, XANTHAN GUM, MEYER LEMON OIL, MONO- AND DIGLYCERIDES, SUNFLOWER LECITHIN, CITRIC ACID, BETA CAROTENE (COLOR), VITAMIN A PALMITATE, SOY LECITHIN, NONFAT POWDERED MILK (MILK, VITAMIN A PALMITATE, VITAMIN D).",
"WATER, SOYBEAN OIL, CREAM, MODIFIED CORN STARCH, MODIFIED EGG YOLK (EGG YOLKS, SALT, PHOSPHOLIPASE), DAIRY PRODUCT SOLIDS, PARMESAN CHEESE (MILK, CHEESE CULTURES, SALT, ENZYMES), SALT, ROASTED GARLIC PUREE, ROASTED GARLIC POWDER, SUGAR, YEAST EXTRACT (BARLEY), XANTHAN GUM, SPICES, LACTIC ACID, ROMANO CHEESE (MILK, CHEESE CULTURES, SALT, ENZYMES), NATURAL FLAVOR.",
"ORGANIC ROMAINE LETTUCE, ORGANIC GREEK VINAIGRETTE (ORGANIC SOYBEAN OIL, WATER, ORGANIC TAHINI, ORGANIC APPLE CIDER VINEGAR, ORGANIC TAMARI SAUCE [WATER, ORGANIC SOYBEANS, SALT], ORGANIC LEMON JUICE CONCENTRATE, ORGANIC CANE SUGAR, SALT, ORGANIC DRIED GARLIC, ORGANIC SESAME SEEDS, ORGANIC DRIED PARSLEY, ORGANIC DRIED CHIVE, XANTHAN GUM), ORGANIC PITA CHIPS (ORGANIC WHEAT FLOUR, ORGANIC SUNFLOWER OIL, WATER, SEA SALT, ORGANIC YEAST, ORGANIC OAT FIBER), ORGANIC FETA CHEESE (ORGANIC FETA CHEESE [PASTEURIZED ORGANIC MILK, SALT, CHEESE CULTURE, ENZYMES], ORGANIC POTATO STARCH [TO PREVENT CAKING]).",
"CULTURED PASTEURIZED GRADE A SKIM MILK AND CREAM, WHEY, CONTAINS LESS THAN 2% OF MODIFIED FOOD STARCH, SALT, CALCIUM PHOSPHATE, XANTHAN GUM, MONO- AND DIGLYCERIDES, GUAR GUM, NATURAL FLAVOR, VITAMIN A PALMITATE",
"PASTEURIZED MILK, SALT, ENZYMES, CHEESE CULTURES, (LACTIC STARTER, SOY PROTEIN)",
"WATER, CANE SUGAR*, TAMARI* (WATER, SOYBEANS*, SEA SALT, ALCOHOL*, KOJI), WHITE VINEGAR*, TOMATO PASTE*, ONION*, ORANGE JUICE CONCENTRATE*, TAPIOCA STARCH*, SALTED SAKE* (WATER, RICE*, KOJI, SEA SALT), SEA SALT, LIME JUICE CONCENTRATE*, GINGER POWDER*, GARLIC POWDER*, XANTHAN GUM, ORANGE EXTRACT*.",
"WATER, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, HYDROGENATED VEGETABLE OIL (COCONUT OIL, PALM KERNEL OIL), LESS THAN 2% OF SODIUM CASEINATE (FROM MILK), NATURAL FLAVORS, SKIM MILK, XANTHAN GUM, GUAR GUM, POLYSORBATE 60, SORBITAN MONOSTEARATE, LIGHT CREAM, AND BETA CAROTENE (FOR COLOR).",
"GREEN PEAS, GLUTINOUS RICE FLOUR, CORN STARCH, SUGAR, SALT, VEGETABLE OIL (SOYBEAN OIL AND/OR PALM OIL) WASABI, ARTIFICIAL COLORS (FD&C YELLOW #5, BLUE #1).",
"POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN OR COTTONSEED), SALT.",
FRESH GARLIC.,
"PASTEURIZED MILK, VINEGAR*, SEA SALT, PROBIOTIC CULTURES*, NON-ANIMAL RENNET*,",
"PEANUTS, SUGAR, ALMONDS, CASHEWS, WALNUTS, TAPIOCA SYRUP, PECANS, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA OIL, SAFFLOWER OIL, SUNFLOWER OIL), SALT, ROSEMARY EXTRACT, SOY LECITHIN.",
"SUGAR, COCOA BUTTER, MILK, CHOCOLATE, SKIM MILK, BUTTERFAT, BARLEY MALT POWDER, SOYA LECITHIN (EMULSIFIER), ARTIFICIAL FLAVORING, SALT.",
"FILTERED WATER, HIGH FRUCTOSE CORN SYRUP, CITRIC ACID, NATURAL FLAVORS, BLACK TEA.",
"*FAIR TRADE INGREDIENT: BY WEIGHT 100% FROM FAIR TRADE COOPERATIVES.,INGREDIENTS: *ORGANIC CHOCOLATE LIQUOR, *ORGANIC COCOA BUTTER, *ORGANIC RAW CANE SUGAR, *ORGANIC GROUND VANILLA BEANS.",
"CHICKEN STOCK (CONTAINS FLAVOR), WHITE CHICKEN (WHITE CHICKEN MEAT, WATER, MODIFIED FOOD STARCH, SALT, SODIUM PHOSPHATES), POTATOES, CARROTS, CHICKEN FAT, ONIONS, CELERY, CREAM CHEESE (PASTEURIZED MILK AND CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM), MODIFIED CORNSTARCH, CREAM ([FROM MILK] CONTAINS CARRAGEENAN), GREEN BEANS, CONTAINS 2% OR LESS OF POTATO STARCH, SALT, YEAST EXTRACT, POTASSIUM CHLORIDE, FLAVORING, SUGAR, SOY LECITHIN, SPICES.",
"PORK, BEEF, SALT, WATER, PAPRIKA, DEXTROSE, SPICES AND FLAVORINGS, OLEORESIN OF PAPRIKA, SODIUM ERYTHORBATE, LACTIC ACID STARTER CULTURE, SODIUM NITRATE, BHA, BHT.",
"WATER, WHEAT GLUTEN, SOY PROTEIN CONCENTRATE, SUGAR, VEGETABLE OIL (corn, canola and/or sunflower), SOY FLOUR, SOY PROTEIN ISOLATE. CONTAINS 2% OR LESS OF maltodextrin, methylcellulose, yeast extract, salt, fruit juice for color, natural flavors, spices, potato starch, konjac flour, molasses, onion powder, soy sauce (water, soybeans, salt, wheat), invert sugar.",
"FROSTING: SUGAR, PALM OIL, WATER, CORN SYRUP, CORN STARCH, CANOLA OIL, CONTAINS 2% OR LESS OF: SALT, MONO AND DIGLYCERIDES, ARTIFICIAL FLAVOR, POLYSORBATE 60, MODIFIED CORN STARCH, ARTIFICIAL COLOR INCLUDING YELLOW 5, POTASSIUM SORBATE (PRESERVATIVE), SOY LECITHIN, XANTHAN GUM, CITRIC ACID, ANTIOXIDANTS (ASCORBYL PALMITATE, MIXED TOCOPHEROLS, CHAMOMILE AND ROSEMARY EXTRACTS). CANDY BITS: SUGAR, CORN STARCH, VEGETABLE OIL (PALM AND PALM KERNEL), DEXTRIN, SOY LECITHIN, CONFECTIONER'S GLAZE, YELLOW 6 LAKE, NATURAL AND ARTIFICIAL FLAVOR, BLUE 1 LAKE, CARNAUBA WAX, YELLOW 5 LAKE, YELLOW 5, BLUE 1.",
"CHERRIES, WATER, SUGAR, CITRIC ACID.",
"CONTENTS: ORGANIC BLACK TRUMPET, ORGANIC CHANTERELLE, ORGANIC MOREL, ORGANIC PORCINI AND/OR ORGANIC BOLETE MUSHROOMS.",
"INVERT SUGAR, CORN SYRUP, MOLASSES.",
"WATER, CHICKPEAS, BUTTERNUT SQUASH, PEARLED SORGHUM, COCONUT OIL, SPICES, DEHYDRATED ONION AND GARLIC, SEA SALT, TOMATO POWDER, TURMERIC, CITRIC ACID, LEMON JUICE POWDER (MALTODEXTRIN, LEMON JUICE CONCENTRATE), SILICON DIOXIDE ADDED TO PREVENT CAKING",
"WATER, WHEAT FLOUR, PASTEURIZED EGG, VEGETABLE OIL (RAPESEED), SUGAR, BUCKWHEAT FLOUR, MODIFIED MAIZE STARCH (THICKENER: ACETYLATED DISTARCH ADIPATE), SOY FLOUR, DEXTROSE, MAIZE STARCH, LEAVENING AGENT (MONO CALCIUM PHOSPHATE, SODIUM BICARBONATE), DRIED YEAST, SALT, NATURAL FLAVORING.",
"DEXTROSE, CORN SYRUP, CORN STARCH, MAGNESIUM STEARATE, CITRIC ACID, ARTIFICIAL FLAVOR, ARTIFICIAL COLOR (RED 3, BLUE 2, YELLOW 6, YELLOW 5).",
"INGREDIENTS: PORK, WATER, DEHYDRATED MANGO (MANGO, SUGAR, CITRIC ACID), ORGANIC CANE SUGAR. CONTAINS LESS THAN 1.5% OF SALT, CHIPOTLE PEPPERS, CLARIFIED MANGO JUICE CONCENTRATE, VINEGAR, SEASONING (YEAST EXTRACT, CITRUS EXTRACT [LEMON, LIME & ORANGE), SPICE EXTRACTS), PAPRIKA, CELERY POWDER, SPICES, SEA SALT, CHERRY POWDER.",
"SALT, GARLIC, SILICON DIOXDE (TO MAKE FREE FLOWING), GARLIC OIL.",
"ORGANIC BROWN RICE SYRUP, ORGANIC ROLLED OATS, DRIED APRICOTS, SOY PROTEIN ISOLATE, ORGANIC CANE SYRUP, ORGANIC ROASTED SOYBEANS, ORGANIC SOY FLOUR, RICE FLOUR, ORGANIC OAT FIBER, CANE SUGAR, ORGANIC HIGH OLEIC SUNFLOWER OIL, NATURAL FLAVORS, LEMON JUICE CONCENTRATE, RICE STARCH, CITRIC ACID, SEA SALT, BARLEY MALT EXTRACT, ORGANIC ANNATTO (FOR COLOR). VITAMINS & MINERALS: DICALCIUM PHOSPHATE, MAGNESIUM OXIDE, CALCIUM CARBONATE, ASCORBIC ACID (VIT. C), DL-ALPHA TOCOPHERYL ACETATE (VIT. E), BETA CAROTENE (VIT. A), NIACINAMIDE (VIT. B3), ERGOCALCIFEROL (VIT. D2), THIAMINE MONONITRATE (VIT. B1), PYRIDOXINE HYDROCHLORIDE (VIT. B6), RIBOFLAVIN (VIT. B2), CYANOCOBALAMIN (VIT. B12).",
"WATER, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, WHEY, MILKFAT, RASPBERRY PUREE, ORANGE PUREE (CONCENTRATED ORANGE JUICE, CITRUS PULP, ORANGE OIL), LIME PUREE (CONCENTRATED LIME JUICE, CITRUS PULP, LIME OIL), CITRIC ACID, NATURAL FLAVORS, GUAR GUM, MONO- AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, LOCUST BEAN GUM, CARRAGEENAN, ANNATTO (COLOR), ARTIFICIAL COLOR (BLUE #1, RED #3, RED #40, YELLOW #5, YELLOW #6).",
"CORN MALTODEXTRIN, SALT, YEAST EXTRACT, ONION, BUTTERMILK SOLIDS, PARSLEY, BLACK PEPPER, CULTURED WHEY, GARLIC, CARRAGEENAN (THICKENER), AND NATURAL FLAVOR.",
"INGREDIENTS: GREEN BEANS, WATER, SALT, GARLIC, DILL SEED, DILL FLOWERS, RED CHILI",
"SUGAR, TAPIOCA SYRUP, AGAR POWDER, CITRIC ACID, NATURAL RASPBERRY, ORANGE, AND LEMON FLAVORS, ANNATTO COLOR, TITANIUM DIOXIDE",
"ORGANIC POPCORN, ORGANIC PALM OIL, SALT, ORGANIC BUTTER FLAVOR, ORGANIC ANNATTO.",
"CANE SUGAR, RICE FLOUR, CRANBERRIES, TAPIOCA STARCH, POTATO STARCH, SOUR CREAM POWDER (CULTURED CREAM, NONFAT DRY MILK, NATURAL VITAMIN E), ORANGE PEEL GRANULES, EGG POWDER, NATURAL FLAVORS, SODIUM BICARBONATE, SEA SALT, BAKING POWDER (MONOCALCIUM PHOSPHATE, SODIUM BICARBONATE, CORNSTARCH), XANTHAN GUM.",
"WATER, BEEF AND PORK, MODIFIED CORNSTARCH, CHILI POWDER (CHILI PEPPERS, FLAVORING), CONTAINS 2% OR LESS OF TEXTURED VEGETABLE PROTEIN (SOY FLOUR, CARAMEL COLOR), OATMEAL, SUGAR, TOMATO PASTE, HYDROLYZED SOY, CORN, AND WHEAT PROTEIN, SALT, FLAVORING, CORN FLOUR, YEAST EXTRACT, SPICES, DISODIUM INOSINATE AND DISODIUM GUANYLATE, SOY LECITHIN.",
"ICE CREAM: SKIM MILK, CREAM, SUGAR, CORN SYRUP, MONO AND DIGLYCERIDES, CARRAGEENAN, CAROB BEAN GUM, GUAR GUM, VANILLA EXTRACT, BETA CAROTENE (COLOR), CHOCOLATEY COATING: MILK CHOCOLATE (SUGAR, COCOA BUTTER, SKIM MILK, CHOCOLATE, LACTOSE, MILKFAT, SOY LECITHIN, ARTIFICIAL FLAVOR), SEMISWEET CHOCOLATE (SUGAR, CHOCOLATE, CHOCOLATE PROCESSED WITH ALKALI, COCOA BUTTER, MILKFAT, SOY LECITHIN, NATURAL FLAVOR), COCONUT OIL, PALM OIL",
"DURUM WHOLE WHEAT FLOUR, SEMOLINA, DURUM WHEAT FLOUR, OAT FIBER.",
"WHOLE FRESH POTATOES, LARD, SALT, VITAMIN E (MIXED TOCOPHEROLS) AND TBHQ ADDED FOR FRESHNESS.",
APPLE CIDER*.,
"GLUCOSE SYRUP, SUGAR, WATER, GELATIN, CITRIC ACID, MALIC ACID, ARTIFICIAL FLAVOR, PALM KERNEL OIL, CARNAUBA WAX, PRESERVATIVE (POTASSIUM SORBATE), FD&C RED 40.",
"POTATOES, VEGETABLE OIL (SUNFLOWER, CORN, AND/OR CANOLA OIL), BACON WRAPPED JALAPENO POPPER SEASONING (MALTODEXTRIN [MADE FROM CORN], WHEY, SALT, NATURAL FLAVORS, CHEDDAR CHEESE [MILK, CHEESE CULTURES, SALT, ENZYMES], CREAM CHEESE [PASTEURIZED MILK AND CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM], SUGAR, SPICE, ONION POWDER, BUTTER [CREAM, SALT], SUNFLOWER OIL, JALAPEO PEPPER POWDER, MONTEREY JACK CHEESE [MILK, CHEESE CULTURES, SALT, ENZYMES], AND PAPRIKA EXTRACT).",
"Yellow Corn Tortillas (Stone Ground Corn, Water), Expeller Pressed Vegetable Oil (Canola/Sunflower) (Protected with Antioxidant), Seasoning (Tapioca Starch, Cheese Powder (Cheese Solids (Pasteurised Milk, Salt, Starter Cultures, Enzymes), Milk Solids, Mineral Salts (Sodium Citrates, Sodium Phosphates), Salt, Food Acid (Lactic Acid)), Salt, Dehydrated Vegetables (Onion, Tomato, Garlic), Buttermilk Powder (Milk), Yeast Extract, Spices and Spice Extracts, Sugar, Food Acids (Lactic Acid, Calcium Lactate, Citric Acid), Flavour (Milk), Skim Milk Powder (Milk))",
"PASTEURIZED MILK, SKIM MILK, ANE SUGAR, KESAR MANGO PULP, CITRIC ACID, ARTIFICIAL VANILLA FLAVOR, SALT.",
"(GB) WAFERS WITH VANILLA FLAVOURED FILLING (70%) INGREDIENTS: WHEAT FLOUR, PALM FAT, SUGAR, WHEY POWDER (FROM MILK), SKIMMED MILK POWDER, LACTOSE (FROM MILK), POTATO STARCH, COCONUT FAT, EGGS POWDER, SALT, EMULSIFIER: LECITHIN (FROM RAPESEED), RAISING AGENT: SODIUM BICARBONATE, FLAVOURING, NATURAL VANILLA POWDER 0,003%.",
"INGREDIENTS: HEAVY CREAM, SKIM MILK, CONTAINS 1% OR LESS OF: MONO AND DIGLYCERIDES, POLYSORBATE 80, CARRAGEENAN.",
"FILTERED WATER, ORGANIC CORN, ORGANIC POTATOES, ORGANIC CREAM (MILK), ORGANIC POBLANO PEPPERS, ORGANIC ONIONS, CONTAINS LESS THAN 2% OF: ORGANIC CORN STARCH, ORGANIC RED JALAPENO PEPPERS, ORGANIC POTATO STARCH, SEA SALT, ORGANIC CILANTRO, ORGANIC CARROT JUICE CONCENTRATE, ORGANIC CELERIAC JUICE CONCENTRATE, ORGANIC ONION POWDER, ORGANIC GARLIC POWDER, ORGANIC CAYENNE PEPPER, ORGANIC BLACK PEPPER.",
"SUGAR, WHEAT FLOUR, COCOA BUTTER, CHOCOLATE LIQUOR, SKIM MILK, CORN SYRUP, BUTTER, SWEET WHEY POWDER, BUTTER OIL, SWEETENED CONDENSED MILK (MILK, SUGAR), HYDROGENATED PALM OIL, GLYCERIN, LACTOSE, SOY LECITHIN, SODIUM BICARBONATE, SODIUM PYROPHOSPHATE, MILK, SALT, NATURAL FLAVORING, CITRIC ACID (ACIDIFIER), EGG YOLK.",
"SUGAR COOKIE MIX: ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, NATURAL AND ARTIFICIAL FLAVORS, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), SODIUM BICARBONATE, SALT. ICING PENS: SUGAR, PARTIALLY HYDROGENATED SOYBEAN AND COTTONSEED OIL, WATER, CORN SYRUP, MONO AND DIGLYCERIDES, RED 40, SALT, FOOD STARCH-MODIFIED (CORN), BLUE 1, POTASSIUM SORBATE (PRESERVATIVE), POLYSORBATE 60, RED 40, ARTIFICIAL FLAVOR, YELLOW 5, YELLOW 6, CITRIC ACID, SODIUM BENZOATE (PRESERVATIVE). VANILLA FROSTING MIX: CONFECTIONERS' SUGAR (SUGAR, CORN STARCH), NATURAL AND ARTIFICIAL FLAVORS. GREEN COLOR POWDER: DEXTROSE, YELLOW 5 LAKE, BLUE 1 LAKE.",
"SUGAR, ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), VEGETABLE OIL SHORTENING (PALM AND PALM KERNEL OIL), CARAMEL COLOR, COCOA (PROCESSED WITH ALKALI), CORN STARCH, SALT, CORN FLOUR, LEAVENING (BAKING SODA, AMMONIUM BICARBONATE), HIGH FRUCTOSE CORN SYRUP, MOLASSES, SOY LECITHIN, ARTIFICIAL COLOR (YELLOW 6 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE), NATURAL AND ARTIFICIAL FLAVOR.",
"CARBONATED WATER, CITRIC ACID, SODIUM CITRATE, NATURAL FLAVORS, L-LEUCINE, CAFFEINE, L-ISOLEUCINE, L-VALINE, SODIUM BENZOATE (PRESERVATIVE), SUCRALOSE, POTASSIUM CITRATE, POTASSIUM SORBATE (PRESERVATIVE), ACESULFAME POTASSIUM, NIACINAMIDE (VIT, B3), MAGNESIUM LACTATE, COENZYME Q-10, PYRIDOXINE HYDROCHLORIDE (VIT. B6), CYANOCOBALAMIN (VIT.B12).",
"MALTODEXTRIN, CITRIC ACID, MALIC ACID, NATURAL AND ARTIFICIAL FLAVORS, ASPARTAME**, RED 40, CALCIUM PHOSPHATE, ACESULFAME POTASSIUM, CONTAINS LESS THAN 2% OF: CALCIUM SILICATE, MAGNESIUM OXIDE, BLUE 1.",
