ingredients,labels
"CORN SYRUP, WATER, GLYCERIN, COCOA PROCESSED WITH ALKALI, FRUCTOSE, CONTAINS 2% OR LESS: MODIFIED CORN STARCH, CHOCOLATE LIQUOR PROCESSED WITH ALKALI (WITH MILK), NATURAL FLAVOR (FROM MILK AND SOYBEAN), POTASSIUM SORBATE AND SODIUM BENZOATE (PRESERVATIVES), SALT, SOY LECITHIN, POLYSORBATE 60.","CORN SYRUP, WATER, GLYCERIN, COCOA PROCESSED WITH ALKALI, FRUCTOSE, MODIFIED CORN STARCH, CHOCOLATE LIQUOR, MILK, SOYBEAN,POTASSIUM SORBATE, SODIUM BENZOATE, SALT, SOY LECITHIN, POLYSORBATE 60"
"WATER, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, ARTIFICIAL FLAVORS, CITRIC ACID, LOCUST BEAN GUM, GUAR GUM, ASCORBIC ACID (VITAMIN C), CARRAGEENAN, POLYSORBATE 80, ARTIFICIAL COLORS (BLUE #1, RED #3, RED #40). ","WATER, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, ARTIFICIAL FLAVORS, CITRIC ACID, LOCUST BEAN GUM, GUAR GUM, VITAMIN C, CARRAGEENAN, POLYSORBATE 80, BLUE #1, RED #3, RED #40"
"ALMONDS, CASHEWS, BRAZIL NUTS, HAZELNUTS, PECANS, PEANUT OIL AND/OR COTTONSEED OIL AND/OR SUNFLOWER SEED OIL AND/OR CANOLA OIL, SEA SALT.","ALMONDS, CASHEWS, BRAZIL NUTS, HAZELNUTS, PECANS, COTTONSEED OIL, SUNFLOWER SEED OIL,CANOLA OIL, SEA SALT"
"ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUNFLOWER AND/OR CANOLA OIL (CONTAINS ASCORBIC ACID AND ROSEMARY EXTRACT FOR FRESHNESS), WHOLE WHEAT FLOUR, EVAPORATED CANE SUGAR, TOASTED SOY GRITS, WHEAT BRAN, INVERT SUGAR, ROLLED OATS, SALT, AMMONIUM BICARBONATE, DEHYDRATED ONION, DEHYDRATED GARLIC, OAT FIBER, CARAWAY SEEDS, POPPY SEEDS, SESAME SEEDS, MONOCALCIUM PHOSPHATE, SODIUM BICARBONATE, WHEAT GLUTEN, ENZYMES.","WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, ASCORBIC ACID,ROSEMARY EXTRACT, WHOLE WHEAT FLOUR, EVAPORATED CANE SUGAR, TOASTED SOY GRITS, WHEAT BRAN, INVERT SUGAR, ROLLED OATS, SALT, AMMONIUM BICARBONATE, DEHYDRATED ONION, DEHYDRATED GARLIC, OAT FIBER, CARAWAY SEEDS, POPPY SEEDS, SESAME SEEDS, MONOCALCIUM PHOSPHATE, SODIUM BICARBONATE, WHEAT GLUTEN, ENZYMES"
"WATER, TOMATO PUREE (WATER, TOMATO PASTE), ENRICHED PASTA (DURUM WHEAT SEMOLINA, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), HIGH FRUCTOSE CORN SYRUP, LESS THAN 2% OF: SALT, PASTEURIZED PROCESSED CHEESE (CHEDDAR AND ENZYME MODIFIED CHEDDAR [PASTEURIZED MILK, CULTURES, SALT, ENZYMES], WATER, SODIUM PHOSPHATE, MILKFAT, SALT, APO-CAROTENAL [COLOR]), ENZYME MODIFIED CHEESE (CHEDDAR CHEESE [PASTEURIZED MILK, CULTURES, SALT, ENZYMES], CREAM, WATER, SALT, SODIUM PHOSPHATE, XANTHAN GUM, APO-CAROTENAL [COLOR]), MODIFIED CORN STARCH, ONION POWDER, CITRIC ACID, FLAVORING, SOYBEAN OIL.","WATER, WATER, TOMATO PASTE, DURUM WHEAT SEMOLINA, NIACIN, REDUCED IRON, VITAMIN B1, VITAMIN B2, FOLIC ACID, HIGH FRUCTOSE CORN SYRUP, SALT, PASTEURIZED MILK, CULTURES, SALT, ENZYMES, WATER, SODIUM PHOSPHATE, MILKFAT, SALT, APO-CAROTENAL, PASTEURIZED MILK, CULTURES, SALT, ENZYMES, CREAM, WATER, SALT, SODIUM PHOSPHATE, XANTHAN GUM, APO-CAROTENA, MODIFIED CORN STARCH, ONION POWDER, CITRIC ACID, SOYBEAN OIL"
"XYLITOL, PEPPERMINT OIL, CREAM OF TARTAR, CALCIUM STEARATE.","XYLITOL, PEPPERMINT OIL, CREAM OF TARTAR, CALCIUM STEARATE"
"CANOLA OIL, OLIVE OIL, BALSAMIC VINEGAR (BALSAMIC VINEGAR OF MODENA, NATURALLY OCCURRING SULFITES), SUGAR, HONEY, EGG YOLK, SALT, GARLIC, BLACK PEPPER.","CANOLA OIL, OLIVE OIL, BALSAMIC VINEGAR OF MODENA, NATURALLY OCCURRING SULFITES, SUGAR, HONEY, EGG YOLK, SALT, GARLIC, BLACK PEPPER"
"ORGANIC ORANGE JUICE, ORGANIC PINEAPPLE JUICE, ORGANIC MANGO PUREE, ORGANIC APPLE JUICE, ORGANIC ACEROLA CHERRY JUICE.","ORGANIC ORANGE JUICE, ORGANIC PINEAPPLE JUICE, ORGANIC MANGO PUREE, ORGANIC APPLE JUICE, ORGANIC ACEROLA CHERRY JUICE"
"ORGANIC PASTEURIZED CULTURED PART SKIM COWS' MILK, SALT, VEGETARIAN ENZYME.","ORGANIC PASTEURIZED CULTURED PART SKIM COWS' MILK, SALT, VEGETARIAN ENZYME"
"TOMATOES (TOMATO PUREE, WATER), COOKED ENRICHED SPAGHETTI (WATER, ENRICHED WHEAT FLOUR [DURUM WHEAT SEMOLINA, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID], WHEAT PROTEIN ISOLATE [WHEAT GLUTEN, SODIUM PHOSPHATE, LACTIC ACID], GLYCERYL MONOSTEARATE), MEATBALLS (ANGUS BEEF, BREAD CRUMB [WHEAT FLOUR, SUGAR, SALT, YEAST], DICED TOMATOES WITH JUICE, WATER, PARMESAN CHEESE [CULTURED, PASTEURIZED PART-SKIM MILK, SALT, ENZYMES], SALT, SOY PROTEIN CONCENTRATE, GARLIC POWDER, ONION POWDER, SPICES, CITRIC ACID), WATER, LESS THAN 2% OF: SUGAR, SALT, MODIFIED CORN STARCH, ROMANO CHEESE FROM COW'S MILK (CULTURED PART-SKIM MILK, SALT, ENZYMES), DRIED GARLIC, DRIED ONION, OLIVE OIL, SPICE, CITRIC ACID.","TOMATO PUREE, WATER,  WATER, DURUM WHEAT SEMOLINA, NIACIN, REDUCED IRON, VITAMIN B1, VITAMIN B2, FOLIC ACID, WHEAT GLUTEN, SODIUM PHOSPHATE, LACTIC ACID, GLYCERYL MONOSTEARATE, ANGUS BEEF, WHEAT FLOUR, SUGAR, SALT, YEAST, DICED TOMATOES WITH JUICE, WATER, CULTURED, PASTEURIZED PART-SKIM MILK, SALT, ENZYMES, SALT, SOY PROTEIN CONCENTRATE, GARLIC POWDER, ONION POWDER, SPICES, CITRIC ACID, WATER, SUGAR, SALT, MODIFIED CORN STARCH, CULTURED PART-SKIM MILK, SALT, ENZYMES, DRIED GARLIC, DRIED ONION, OLIVE OIL, SPICE, CITRIC ACID"
"GELATIN, ADIPIC ACID, DISODIUM PHOSPHATE, MALTODEXTRIN, FUMARIC ACID, ASPARTAME* (SWEETENER), CONTAINS LESS THAN 2% OF ARTIFICIAL FLAVOR, ACESULFAME POTASSIUM (SWEETENER), SALT, RED 40.","GELATIN, ADIPIC ACID, DISODIUM PHOSPHATE, MALTODEXTRIN, FUMARIC ACID, ASPARTAME,  ARTIFICIAL FLAVOR, ACESULFAME POTASSIUM , SALT, RED 40"
"SKIM MILK, SUGAR, CREAM, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, WHEY, WATER, CARAMEL COLOR, STABILIZER (GUAR GUM, CARRAGEENAN), ARTIFICIAL VANILLA FLAVORING, CITRIC ACID.","SKIM MILK, SUGAR, CREAM, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, WHEY, WATER, CARAMEL COLOR,GUAR GUM, CARRAGEENAN, ARTIFICIAL VANILLA FLAVORING, CITRIC ACID"
"ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), MARGARINE [PALM OIL, WATER, SOYBEAN OIL, SUGAR, SOY LECITHIN, MONO & DIGLYCERIDES, POTASSIUM SORBATE AND CITRIC ACID (ADDED AS PRESERVATIVES), NATURAL FLAVOR, BETA CAROTENE (COLOR), VITAMIN A PALMITATE], SUGAR, WATER, CREAM CHEESE FILLING [MILK, PASTEURIZED MILK & CREAM, SKIM MILK, PALM OIL, MILK PROTEIN CONCENTRATE, WATER, CHEESE CULTURE, SALT, XANTHAN GUM, CAROB BEAN GUM, GUAR GUM, LACTIC ACID, MONO & DIGLYCERIDES, CITRIC ACID, APOCAROTENAL (COLOR)], HIGH FRUCTOSE CORN SYRUP, EGGS, PALM OIL, DEXTROSE, CONTAINS 2% OR LESS OF THE FOLLOWING: MODIFIED CORN STARCH, YEAST, MONO & DIGLYCERIDES, WHEY, TAPIOCA STARCH, SALT, SOY FLOUR, CORN STARCH, CORN SYRUP, NATURAL & ARTIFICIAL FLAVORS, CALCIUM SULFATE, AMMONIUM SULFATE, ENZYMES, CALCIUM CARBONATE, AGAR, TITANIUM DIOXIDE, SORBITAN MONOSTEARATE, CORN FLOUR, OLEORESIN TURMERIC, SOYBEAN OIL, SOY LECITHIN, OLEORESIN PAPRIKA, GLYCERYL MONOOLEATE, POLYSORBATE 60, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), POTASSIUM SORBATE (PRESERVATIVE), SODIUM STEAROYL LACTYLATE, LEMON JUICE CONCENTRATE, DISTILLED MONOGLYCERIDE, CALCIUM PROPIONATE (PRESERVATIVE), ASCORBIC ACID, CALCIUM PHOSPHATE, XANTHAN GUM.","WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, PALM OIL, WATER, SOYBEAN OIL, SUGAR, SOY LECITHIN, MONO & DIGLYCERIDES, POTASSIUM SORBATE,CITRIC ACID , NATURAL FLAVOR, BETA CAROTENE VITAMIN A PALMITATE, SUGAR, WATER, MILK, PASTEURIZED MILK & CREAM, SKIM MILK, PALM OIL, MILK PROTEIN CONCENTRATE, WATER, CHEESE CULTURE, SALT, XANTHAN GUM, CAROB BEAN GUM, GUAR GUM, LACTIC ACID, MONO & DIGLYCERIDES, CITRIC ACID, APOCAROTENAL, HIGH FRUCTOSE CORN SYRUP, EGGS, PALM OIL, DEXTROSE, MODIFIED CORN STARCH, YEAST, MONO & DIGLYCERIDES, WHEY, TAPIOCA STARCH, SALT, SOY FLOUR, CORN STARCH, CORN SYRUP, NATURAL & ARTIFICIAL FLAVORS, CALCIUM SULFATE, AMMONIUM SULFATE, ENZYMES, CALCIUM CARBONATE, AGAR, TITANIUM DIOXIDE, SORBITAN MONOSTEARATE, CORN FLOUR, OLEORESIN TURMERIC, SOYBEAN OIL, SOY LECITHIN, OLEORESIN PAPRIKA, GLYCERYL MONOOLEATE, POLYSORBATE 60, SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE, POTASSIUM SORBATE, SODIUM STEAROYL LACTYLATE, LEMON JUICE CONCENTRATE, DISTILLED MONOGLYCERIDE, CALCIUM PROPIONATE, ASCORBIC ACID, CALCIUM PHOSPHATE, XANTHAN GUM"
"ORGANIC COCONUT WATERâ , ORGANIC CHOCOLATE FLAVOR.","ORGANIC COCONUT WATER , ORGANIC CHOCOLATE FLAVOR"
"PEANUTS, SUGAR, HONEY BEE, GLUCOSE, WHEAT FLOUR, VANILLA EXTRACT, CITRIC ACID AS CONSERVATIVE","PEANUTS, SUGAR, HONEY BEE, GLUCOSE, WHEAT FLOUR, VANILLA EXTRACT, CITRIC ACID"
"WHOLE WHEAT FLOUR, WATER, ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], YEAST, BULGUR WHEAT, WHOLE WHEAT, WHEAT GLUTEN, HONEY, PRESERVATIVES (CALCIUM PROPIONATE, SORBIC ACID), SEA SALT, OLIVE OIL, NATURAL FLAVOR, CELLULOSE FIBER, DATEM, GRAIN VINEGAR, MONOGLYCERIDES, CITRIC ACID, CELLULOSE GUM, XANTHAN GUM, LEAVENING (SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE), SOY LECITHIN.","WHOLE WHEAT FLOUR, WATER, FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, VITAMIN B1, VITAMIN B2, FOLIC ACID, YEAST, BULGUR WHEAT, WHOLE WHEAT, WHEAT GLUTEN, HONEY, CALCIUM PROPIONATE, SORBIC ACID, SEA SALT, OLIVE OIL, NATURAL FLAVOR, CELLULOSE FIBER, DATEM, GRAIN VINEGAR, MONOGLYCERIDES, CITRIC ACID, CELLULOSE GUM, XANTHAN GUM, SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE, SOY LECITHIN"
